layer 37
    conv filter 1
      unnormalized sims:
        top 0 is 13=',' with sim 2.289437770843506
        top 1 is 15='.' with sim 2.1231915950775146
        top 137 is 48055=' Violet' with sim -0.04428211599588394
        top 138 is 21638=' Terry' with sim -0.044398508965969086
        top 139 is 28331=' Michelle' with sim -0.0445142425596714
        top 140 is 27773=' Blake' with sim -0.044590871781110764
        top 141 is 33099=' Valentine' with sim -0.044626105576753616
        top 142 is 8141=' Star' with sim -0.04468192532658577
        top 143 is 12885=' Holly' with sim -0.04476675018668175
        top 144 is 4162=' April' with sim -0.045142531394958496
        top 145 is 33603=' Lynn' with sim -0.04539256915450096
        top 146 is 31069=' Bee' with sim -0.045537032186985016
        top 147 is 48576=' Marty' with sim -0.04559101164340973
        top 148 is 24707=' Bobby' with sim -0.04564009979367256
        top 149 is 32874=' Kerry' with sim -0.04586422070860863
        top 150 is 42486=' Tate' with sim -0.04633282124996185
        top 151 is 42319=' Clare' with sim -0.046351056545972824
        top 152 is 29778=' Joan' with sim -0.046540722250938416
        top 153 is 29051=' Quinn' with sim -0.0471806526184082
        top 154 is 33245=' Cele' with sim -0.04737449809908867
        top 155 is 45023=' Lucky' with sim -0.04782642424106598
        top 156 is 7758=' Florida' with sim -0.04792974144220352
        top 157 is 13209=' Bab' with sim -0.04821754992008209
        top 158 is 44339=' Shirley' with sim -0.04849633201956749
        top 159 is 40136=' Cassie' with sim -0.04901726916432381
        top 160 is 48038=' Cory' with sim -0.04907948896288872
        top 161 is 28585=' Blair' with sim -0.049116186797618866
        top 162 is 32252=' Casey' with sim -0.049529582262039185
        top 163 is 16916=' Austin' with sim -0.04957374185323715
        top 164 is 45867=' Megan' with sim -0.04992954432964325
        top 165 is 10329=' garden' with sim -0.050088800489902496
        top 166 is 22138=' Amy' with sim -0.050207093358039856
        top 167 is 20047=' Vin' with sim -0.05062992870807648
        top 168 is 17363=' Eve' with sim -0.050744861364364624
        top 169 is 40104=' Connie' with sim -0.05083543807268143
        top 170 is 33503=' snack' with sim -0.05135656148195267
        top 171 is 31472=' Jesse' with sim -0.05149342492222786
        top 172 is 27982=' Gates' with sim -0.05163544788956642
        top 173 is 33357=' Adrian' with sim -0.051788896322250366
        top 174 is 41120=' Esther' with sim -0.05220483988523483
        top 175 is 6039=' Cam' with sim -0.05227871984243393
        top 176 is 47974=' Augustine' with sim -0.052545368671417236
        top 177 is 49676=' Pauli' with sim -0.05320645868778229
        top 178 is 48545=' Cody' with sim -0.05331137776374817
        top 179 is 50227=' Cary' with sim -0.053421538323163986
        top 180 is 31802=' Viv' with sim -0.053469493985176086
        top 181 is 20344=' Fern' with sim -0.053976401686668396
        top 182 is 28642=' Ana' with sim -0.05406849831342697
        top 183 is 49368=' Audi' with sim -0.05433115363121033
        top 184 is 41186=' Eva' with sim -0.054350364953279495
        top 185 is 29026=' Alberta' with sim -0.05439089238643646
        top 186 is 17467=' Anne' with sim -0.05461975187063217
        top 187 is 22739=' Rachel' with sim -0.05462168902158737
        top 188 is 36449=' Christine' with sim -0.05463733524084091
        top 189 is 14861=' Tony' with sim -0.054661184549331665
        top 190 is 27145=' Tommy' with sim -0.054700352251529694
        top 191 is 26642=' Martha' with sim -0.054714106023311615
        top 192 is 21872=' Perry' with sim -0.054946377873420715
        top 193 is 26066=' Brooks' with sim -0.05508340150117874
        top 194 is 21130=' Andy' with sim -0.05546576529741287
        top 195 is 25005=' Storm' with sim -0.05549285560846329
        top 196 is 25063=' Bren' with sim -0.05587965250015259
        top 197 is 41903=' Kai' with sim -0.05599043518304825
        top 198 is 10135=' kiss' with sim -0.05618365854024887
        top 199 is 13089=' Jean' with sim -0.056753404438495636
    conv filter 2
      unnormalized sims:
        top 0 is 34221=' Elli' with sim 21.94919204711914
        top 1 is 49391=' Cookie' with sim 16.300416946411133
        top 2 is 49676=' Pauli' with sim 15.541272163391113
        top 3 is 31662=' Mead' with sim 14.895621299743652
        top 4 is 49771=' Leone' with sim 14.879497528076172
        top 5 is 34134=' Liv' with sim 14.733539581298828
        top 6 is 37875=' Abbey' with sim 14.725240707397461
        top 7 is 46599=' Chrysler' with sim 14.611311912536621
        top 8 is 49813=' Kelley' with sim 14.587523460388184
        top 9 is 35512=' Mercedes' with sim 14.513632774353027
        top 10 is 47137=' Valencia' with sim 14.330611228942871
        top 11 is 43519=' Marina' with sim 14.130167007446289
        top 12 is 29026=' Alberta' with sim 14.12594985961914
        top 13 is 49231=' Shelby' with sim 13.888507843017578
        top 14 is 42518=' Rica' with sim 13.747583389282227
        top 15 is 49529=' Dre' with sim 13.674179077148438
        top 16 is 42486=' Tate' with sim 13.533979415893555
        top 17 is 27955=' Faith' with sim 13.533252716064453
        top 18 is 47474=' Rey' with sim 13.378303527832031
        top 19 is 38005=' Marian' with sim 13.03875732421875
        top 20 is 34365=' Doe' with sim 12.693021774291992
        top 21 is 35084=' Silva' with sim 12.630416870117188
        top 22 is 39888=' Aurora' with sim 12.60740852355957
        top 23 is 44846=' Elena' with sim 12.56771469116211
        top 24 is 46612=' Lilly' with sim 12.496070861816406
        top 25 is 41131=' Amber' with sim 12.439225196838379
        top 26 is 40864=' Nike' with sim 12.284940719604492
        top 27 is 43783=' Philippine' with sim 12.22702407836914
        top 28 is 14648=' basketball' with sim 12.116244316101074
        top 29 is 36938=' Dell' with sim 12.043085098266602
        top 30 is 37101=' Honey' with sim 11.965946197509766
        top 31 is 40152=' Tracy' with sim 11.851768493652344
        top 32 is 40193=' Olive' with sim 11.838726043701172
        top 33 is 36606=' Joyce' with sim 11.79821491241455
        top 34 is 48882=' Freddie' with sim 11.702194213867188
        top 35 is 50227=' Cary' with sim 11.669733047485352
        top 36 is 44256=' necklace' with sim 11.606500625610352
        top 37 is 49368=' Audi' with sim 11.555154800415039
        top 38 is 42809=' Whitney' with sim 11.47091007232666
        top 39 is 30958=' Rena' with sim 11.387323379516602
        top 40 is 48555=' Kirby' with sim 11.245185852050781
        top 41 is 24465=' Gill' with sim 11.206028938293457
        top 42 is 30680=' Meta' with sim 11.196561813354492
        top 43 is 37601=' Britt' with sim 11.080719947814941
        top 44 is 47974=' Augustine' with sim 11.072515487670898
        top 45 is 20047=' Vin' with sim 11.051521301269531
        top 46 is 31955=' Geneva' with sim 11.025372505187988
        top 47 is 35503=' Rosa' with sim 10.999897003173828
        top 48 is 47572=' Dix' with sim 10.962441444396973
        top 49 is 43898=' Dion' with sim 10.935379028320312
        top 50 is 33503=' snack' with sim 10.931991577148438
        top 51 is 46147=' Kathy' with sim 10.929327011108398
        top 52 is 1523='ately' with sim 10.918171882629395
        top 53 is 47998=' Sunny' with sim 10.902576446533203
        top 54 is 28962=' Raf' with sim 10.897947311401367
        top 55 is 36139=' Isabel' with sim 10.78883171081543
        top 56 is 14791=' Pier' with sim 10.76956558227539
        top 57 is 8831=' Ira' with sim 10.704551696777344
        top 58 is 31231=' Claire' with sim 10.640317916870117
        top 59 is 33821=' Lauren' with sim 10.615029335021973
        top 60 is 47040=' Lucia' with sim 10.606860160827637
        top 61 is 45101=' Bess' with sim 10.578006744384766
        top 62 is 35175=' Shannon' with sim 10.435425758361816
        top 63 is 46604=' Erin' with sim 10.432804107666016
        top 64 is 48076=' Elsa' with sim 10.421041488647461
        top 65 is 36965=' Diane' with sim 10.410568237304688
        top 66 is 46326=' Juliet' with sim 10.402965545654297
        top 67 is 48038=' Cory' with sim 10.39138412475586
        top 68 is 47756=' Dru' with sim 10.387977600097656
        top 69 is 27741=' Florence' with sim 10.319514274597168
        top 70 is 9756=' Carolina' with sim 10.295565605163574
        top 71 is 31717=' Alexa' with sim 10.287307739257812
        top 72 is 27982=' Gates' with sim 10.261993408203125
        top 73 is 36604=' Brett' with sim 10.255805969238281
        top 74 is 16225=' Victoria' with sim 10.226774215698242
        top 75 is 27936=' Cris' with sim 10.220674514770508
        top 76 is 21521=' Ruby' with sim 10.148910522460938
        top 77 is 31529=' Loren' with sim 10.144675254821777
        top 78 is 40104=' Connie' with sim 10.052602767944336
        top 79 is 29509=' Crystal' with sim 10.04478931427002
        top 80 is 45711=' Kathleen' with sim 10.008256912231445
        top 81 is 29169=' Pearl' with sim 9.99659252166748
        top 82 is 46937=' Teresa' with sim 9.989360809326172
        top 83 is 40793=' Mae' with sim 9.92820930480957
        top 84 is 40282=' Adelaide' with sim 9.920509338378906
        top 85 is 36819=' Tory' with sim 9.884140014648438
        top 86 is 45377=' Carey' with sim 9.877466201782227
        top 87 is 33515=' Perl' with sim 9.853763580322266
        top 88 is 32867=' Else' with sim 9.845550537109375
        top 89 is 36779=' Sharon' with sim 9.82628059387207
        top 90 is 18966=' Grace' with sim 9.766407012939453
        top 91 is 25579=' Chelsea' with sim 9.69938850402832
